ID;SKU;VARIANT_ID;CATEGORIES;NAME;PRICE;PROMOTIONAL_PRICE;STOCK;PUBLISHED;CANONICAL_URL;UPDATED_AT
150658984;21279;574051293;11163785;Campera Fourstroke Wanderlust Para Mujer;317009.00;;1;true;https://www.mvurbano.com.ar/productos/campera-fourstroke-wanderlust-para-mujer/;2024-04-30T16:20:11-03:00
150668634;21315;574073664;11163785;Botas Touring Stav Core Protection;171913.00;;1;true;https://www.mvurbano.com.ar/productos/botas-touring-stav-core-protection/;2024-04-30T16:20:29-03:00
156837623;21371;594297508;5664404;Casco LS2 399 Valiant Lumen;966407.00;;1;true;https://www.mvurbano.com.ar/productos/casco-ls2-399-valiant-lumen-ma-glo-bl/;2024-04-30T16:20:30-03:00
156838986;21373;594302859;5664404;Casco LS2 399 Valiant Matt Black;506504.00;;1;true;https://www.mvurbano.com.ar/productos/casco-ls2-399-valiant-matt-black/;2024-04-30T16:20:33-03:00
156922296;47141;594557759;5664404;Casco Mac M67 Zepelin Gloss XS;130182.00;;1;true;https://www.mvurbano.com.ar/productos/casco-mac-m67-zepelin-gloss-bl-rosa-xs/;2024-04-30T16:21:06-03:00
156922361;43212;594558347;5664404;Casco Mac M67 Zepelin Matt;130182.00;;1;true;https://www.mvurbano.com.ar/productos/casco-mac-m67-zepelin-matt-bla-roj/;2024-04-30T16:21:01-03:00
156922489;21378;594558858;5664404;Casco Mac M67 Nirvana Gloss;130182.00;;1;true;https://www.mvurbano.com.ar/productos/casco-mac-m67-nirvana-gloss/;2024-04-30T16:21:03-03:00
156922670;43185;594559445;5664404;Casco Mac M67 Negro Mate;122896.00;;;true;https://www.mvurbano.com.ar/productos/casco-mac-m67-negro-mate/;2024-04-30T16:20:58-03:00
157478726;19846;596597945;24498021;Bicicleta Playera De Paseo Bara Bikes;308038.00;;1;true;https://www.mvurbano.com.ar/productos/bicicleta-playera-de-paseo-bara-bikes/;2024-04-11T15:52:06-03:00
174943695;21514;667969741;5664404;Visor De Casco Motovisao Shark S 600 Iridium;53566.00;;2;true;https://www.mvurbano.com.ar/productos/visor-de-casco-motovisao-shark-s-600-iridium/;2024-04-11T15:52:06-03:00
174966223;46733;668058562;11163785;Zapatillas After Moto Fluence;92800.00;;2;true;https://www.mvurbano.com.ar/productos/zapatillas-after-moto-fluence-copia/;2024-04-11T15:52:06-03:00
174970444;43494;668074768;11163785;Bota Alter Joy;89600.00;;1;true;https://www.mvurbano.com.ar/productos/bota-alter-joy/;2024-04-11T15:52:06-03:00
175794048;46300;671887724;5653700;Cubierta Imperial Cord 100-80-18;62701.00;;4;true;https://www.mvurbano.com.ar/productos/cubierta-imperial-cord-100-80-18/;2024-04-11T15:52:06-03:00
175811129;15686;671948714;5653700;Cubremanos De Abrigo Nava 110;7686.00;;8;true;https://www.mvurbano.com.ar/productos/cubremanos-de-abrigo-nava-110/;2024-04-11T15:52:06-03:00
177587745;14247;681902135;5653700;Tacometro Digital Run Leader Hm-032;67385.00;;1;true;https://www.mvurbano.com.ar/productos/tacometro-digital-run-leader-hm-032/;2024-04-11T15:52:06-03:00
177591379;18895;681918182;5653700;Intercomunicador Ejeas V-6 Pro Bluetooth;92109.00;;1;true;https://www.mvurbano.com.ar/productos/intercomunicador-ejeas-v-6-pro-bluetooth/;2024-04-30T16:19:05-03:00
180962979;46276;699214538;5664404;Casco LS2 353 Solid Rapid Negro Mate Talle Xxxl;145514.00;;1;true;https://www.mvurbano.com.ar/productos/casco-ls2-353-solid-rapid-negro-mate-talle-xxxl/;2024-04-30T16:21:03-03:00
