ID;SKU;Imagen
211863827;PAR269;https://www.xt-pc.com.ar/img/productos/15/PAR269.jpg
211863838;MEM699;https://www.xt-pc.com.ar/img/productos/4/MEM699.jpg
211863843;ACC460;https://www.xt-pc.com.ar/img/productos/30/ACC460.jpg
211863847;COO322;https://www.xt-pc.com.ar/img/productos/23/COO322.jpg
211863854;MEM700;https://www.xt-pc.com.ar/img/productos/4/MEM700.jpg
211863865;GAB1075;https://www.xt-pc.com.ar/img/productos/6/GAB1075.jpg
211863877;VGA1682;https://www.xt-pc.com.ar/img/productos/3/VGA1682.jpg
211863886;PRO056;https://www.xt-pc.com.ar/img/productos/37/PRO056.jpg
211863898;VGA1683;https://www.xt-pc.com.ar/img/productos/3/VGA1683.jpg
211863907;MOT1345;https://www.xt-pc.com.ar/img/productos/2/MOT1345.jpg
211863913;CPU475;https://www.xt-pc.com.ar/img/productos/1/CPU475.jpg
211863921;CPU477;https://www.xt-pc.com.ar/img/productos/1/CPU477.jpg
211863928;MOT1347;https://www.xt-pc.com.ar/img/productos/2/MOT1347.jpg
211863936;GAB1080;https://www.xt-pc.com.ar/img/productos/6/GAB1080.jpg
211863943;VGA1691;https://www.xt-pc.com.ar/img/productos/3/VGA1691.jpg
211863951;DIS564;https://www.xt-pc.com.ar/img/productos/12/DIS564.jpg
211863958;MOT1348;https://www.xt-pc.com.ar/img/productos/2/MOT1348.jpg
211863963;MOT1349;https://www.xt-pc.com.ar/img/productos/2/MOT1349.jpg
211863972;MPD045;https://www.xt-pc.com.ar/img/productos/56/MPD045.jpg
211863979;MOT1350;https://www.xt-pc.com.ar/img/productos/2/MOT1350.jpg
211863985;DIS565;https://www.xt-pc.com.ar/img/productos/12/DIS565.jpg
211863991;MON330;https://www.xt-pc.com.ar/img/productos/18/MON330.jpg
211863996;MOT1353;https://www.xt-pc.com.ar/img/productos/2/MOT1353.jpg
211864004;CAM204;https://www.xt-pc.com.ar/img/productos/21/CAM204.jpg
211864012;CBA150;https://www.xt-pc.com.ar/img/productos/57/CBA150.jpg
211864026;CBA151;https://www.xt-pc.com.ar/img/productos/57/CBA151.jpg
211864036;CBA152;https://www.xt-pc.com.ar/img/productos/57/CBA152.jpg
211864042;CBA153;https://www.xt-pc.com.ar/img/productos/57/CBA153.jpg
211864050;CBA154;https://www.xt-pc.com.ar/img/productos/57/CBA154.jpg
211864056;CBA155;https://www.xt-pc.com.ar/img/productos/57/CBA155.jpg
211864069;VGA1701;https://www.xt-pc.com.ar/img/productos/3/VGA1701.jpg
211864075;AUI016;https://www.xt-pc.com.ar/img/productos/28/AUI016.jpg
211864088;GAB1083;https://www.xt-pc.com.ar/img/productos/6/GAB1083.jpg
211864095;GAB1084;https://www.xt-pc.com.ar/img/productos/6/GAB1084.jpg
211864107;GAB1085;https://www.xt-pc.com.ar/img/productos/6/GAB1085.jpg
211864116;GAB1086;https://www.xt-pc.com.ar/img/productos/6/GAB1086.jpg
211864119;DIS566;https://www.xt-pc.com.ar/img/productos/12/DIS566.jpg
211864125;VAR622;https://www.xt-pc.com.ar/img/productos/26/VAR622.jpg
211864131;GAB1100;https://www.xt-pc.com.ar/img/productos/6/GAB1100.jpg
211864140;DIS573;https://www.xt-pc.com.ar/img/productos/12/DIS573.jpg
211864149;DIS574;https://www.xt-pc.com.ar/img/productos/12/DIS574.jpg
211864155;REL002;https://www.xt-pc.com.ar/img/productos/60/REL002.jpg
211864159;IMP234;https://www.xt-pc.com.ar/img/productos/20/IMP234.jpg
211864165;MEM708;https://www.xt-pc.com.ar/img/productos/4/MEM708.jpg
211864172;VGA1712;https://www.xt-pc.com.ar/img/productos/3/VGA1712.jpg
211864176;GAB1094;https://www.xt-pc.com.ar/img/productos/6/GAB1094.jpg
211864183;VAR630;https://www.xt-pc.com.ar/img/productos/26/VAR630.jpg
211864193;MIC001;https://www.xt-pc.com.ar/img/productos/28/MIC001.jpg
211864205;GAB1096;https://www.xt-pc.com.ar/img/productos/6/GAB1096.jpg
211864211;VGA1714;https://www.xt-pc.com.ar/img/productos/3/VGA1714.jpg
211864216;VGA1719;https://www.xt-pc.com.ar/img/productos/3/VGA1719.jpg
211864225;VGA1720;https://www.xt-pc.com.ar/img/productos/3/VGA1720.jpg
211864238;VGA1732;https://www.xt-pc.com.ar/img/productos/3/VGA1732.jpg
211864246;MOT1360;https://www.xt-pc.com.ar/img/productos/2/MOT1360.jpg
